kategorije,naslov,ocena,stevilo_glasov,avtor,lestvica,starost,stevilo_strani,mesec,datum,zaloznik,drzava,jezik
"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's General Story Books', 'Fantasy Books for Kids']","Naruto, Vol. 12",4.48,13705,Masashi Kishimoto,"25,124",12-15,192,Jan,2008,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Secondary Schools', 'Secondary Schools', 'Mathematics & Numeracy', 'General Study Books']",KS3 Maths Complete Revision & Practice - Higher (with Online Edition),3.73,37,CGP Books,"24,402",12-17,208,Jun,2017,Coordination Group Publications Ltd (CGP),United Kingdom,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Traditional']",Guardians of Ga'Hoole: ,4.02,6068,Kathryn Lasky,"58,767",9-12,179,Apr,2006,Scholastic US,United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Sports Stories']","Haikyu!!, Vol. 24",4.57,2228,Haruichi Furudate,"45,062",12-15,200,Jun,2018,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Historical', 'English Language: Reading Schemes']",Secret Agent Jack Stalwart : Book 2: the Search for the Sunken Treasure: Australia :,4.2,441,Elizabeth Singer Hunt,"25,111",9-12,128,Sep,2007,"Running Press,U.S.",United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",The Heroes of Olympus Set,4.73,7447,Rick Riordan,"47,261",,3088,Sep,2019,Disney-Hyperion,,English

"['Children's Fiction', 'Romance Books for Teenagers', 'Funny Books for Kids', 'School Stories']",The Mega-Complicated Crushes of Lottie Brooks,4.79,14,Katie Kirby,"2,375",12-15,480,Aug,2022,Penguin Random House Children's UK,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids']",In Real Life,3.81,35933,Jen Wang,"25,340",12-17,192,Oct,2014,Roaring Brook Press,United States,English

"['Adventure Books for Kids', 'Fantasy Books for Kids']",The Assassin's Blade (Miniature Character Collection),4.32,281050,Sarah J. Maas,"1,996",12-15,448,Nov,2019,Bloomsbury Publishing PLC,United States,English

"['Fascism & Nazism', 'Children's General Story Books', 'Adventure Books for Kids', 'Family', 'Historical', 'Death & Bereavement']",The Book Thief,4.39,2318628,Markus Zusak,"24,982",12-17,592,Mar,2014,Random House USA Inc,United States,English

"['Fantasy', 'Fantasy Books', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Fantasy Books for Kids']","Spice and Wolf, Vol. 17 (light novel) : Epilogue",4.36,419,Keito Koume,"24,451",12-15,224,Apr,2016,"Little, Brown & Company",United States,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Graphic Novels', 'Relationships']",YOUTUBE GAMER GRAPHIC NOVEL,4.53,1608,Tbd,"25,224",12-15,208,Aug,2018,HarperCollins Publishers Inc,United States,English

"['Adventure Books', 'Fantasy', 'Fantasy Books', 'Sci Fi Books for Kids']",The Pirate King : The Legend of Drizzt,4.05,10833,R.A. Salvatore,"24,143",12-17,416,Aug,2011,WIZARDS OF THE COAST,United States,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Horror & Ghost', 'Bullying & Abuse']",This Is Where It Ends,3.69,107580,Marieke Nijkamp,"24,300",12-17,288,Jul,2016,"Sourcebooks, Inc",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Mystery Books for Kids', 'Romance Books for Teenagers']",Twisted,4.01,30090,Sara Shepard,"67,083",12-17,336,Jun,2013,HarperCollins Publishers Inc,United States,English

"['Non-Fiction', 'Children's Hobby & Gaming Books', 'Computer Game Guides']",The Freddy Files: Updated Edition (Five Nights At Freddy's),4.62,2447,Scott Cawthon,"47,743",12-15,224,Jul,2019,Scholastic US,United States,English

"['Poetry Books for Kids', 'Children's Fiction', 'Children's General Story Books', 'Mystery Books for Kids', 'Fantasy Books for Kids', 'Family', 'Death & Bereavement']",Long Way Down : 'A masterpiece.' Angie Thomas,4.27,101291,Chris Priestley,"15,089",12-15,336,Aug,2018,FABER & FABER,United Kingdom,English

"['Linguistics', 'Reference Works', 'Children's Hobby & Gaming Books', 'English Language']","Codes, Ciphers and Secret Writing",3.89,230,Martin Gardner,"15,448",9-12,96,Mar,2003,Dover Publications Inc.,United States,English

"['Children's General Story Books', 'Romance Books for Teenagers', 'Family', 'School Stories']",Lies We Tell Ourselves : Winner of the 2016 Inaugural Amnesty Honour,4.07,13293,Robin Talley,"22,316",11+,384,Oct,2014,HarperCollins Publishers,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Funny Books for Kids', 'Graphic Novels']",Nimona,4.16,137769,ND Stevenson,"66,605",12-17,272,May,2015,HarperCollins Publishers Inc,United States,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Family Issues']",Among the Hidden,3.99,120555,Margaret Peterson Haddix,"25,163",9-12,153,Apr,2000,Simon & Schuster Australia,Australia,English

"['Adventure Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Trono de cristal: Reino de cenizas : Reino de cenizas,4.63,289317,"MAAS, SARAH J.","3,199",12-15,1112,Mar,2021,Alfaguara Juvenil,,Spanish

"['Classic Books & Novels', 'Thriller Books', 'Thrillers', 'Adventure Books', 'Classic Books for Children', 'English Language: Reading & Writing Skills']",The Adventures of Huckleberry Finn,3.83,1229428,Peter Coveney,"64,524",12-17,400,Jan,2003,Penguin Books Ltd,United Kingdom,English

"['Classic Books for Children', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Funny Books for Kids']",The Book of Three,3.98,76497,Lloyd Alexander,"52,500",9-12,224,May,2006,SQUARE FISH,United States,English

"['Anthologies', 'Horror & Ghost', 'Traditional', 'Short Stories for Kids']",Scary Stories to Tell in the Dark,4.05,63822,Brett Helquist,"25,144",9-12,128,Jul,2010,HarperCollins Publishers Inc,United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Fantasy Books for Kids']","Natsume's Book of Friends, Vol. 1",4.22,6350,Yuki Midorikawa,"45,014",12-15,208,Aug,2010,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Family']",Impulse,4.27,75118,Ellen Hopkins,"25,512",12-17,688,May,2008,Simon & Schuster,United States,English

"['Adventure Books for Kids', 'Thriller Books for Children']",Young Bond: Blood Fever,4.02,6924,Charlie Higson,"25,179",9-12,400,Apr,2012,Penguin Random House Children's UK,United Kingdom,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional']",The Sorcerer of the North : Book Five,4.27,67937,John Flanagan,"26,061",12-17,336,Jul,2009,Penguin Putnam Inc,United States,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Sci Fi Books for Kids']",Lumberjanes Vol. 3 : A Terrible Plan,4.05,17319,Gus A Allen,"37,997",12-15,112,May,2016,Boom! Studios,,English

"['Classic Books for Children', 'Children's General Story Books', 'People & Places', 'Death & Bereavement']",I Heard the Owl Call My Name,4.02,7381,Margaret Craven,"57,853",12-17,160,Mar,1993,Bantam Doubleday Dell Publishing Group Inc,United States,English

"['Classic Books for Children', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Animal Stories']",The Magician's Nephew,4.05,497484,C. S. Lewis,"25,026",9-12,224,Nov,2011,HarperCollins Publishers,United Kingdom,English

"['Thriller Books for Children', 'Mystery Books for Kids', 'Horror & Ghost', 'School Stories']",The Hand on the Wall,4.18,60892,Maureen Johnson,"17,147",12-15,384,Nov,2020,HarperCollins Publishers Inc,United States,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'War & Conflict']",The Gilded Ones,4.02,37315,Namina Forna,"42,094",12-15,416,Feb,2021,Usborne Publishing Ltd,United Kingdom,English

"['Art', 'Art & Design']",13 Artists Children Should Know,4.24,152,Angela Wenzel,"25,393",12-17,48,Apr,2009,Prestel,Germany,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Family', 'Historical', 'Family Issues']","I Survived the Attacks of September 11th, 2001 (I Survived ",4.26,9760,Scott Dawson,"25,253",9-12,112,Jul,2012,Scholastic US,,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Children's General Story Books', 'Fantasy Books for Kids', 'Graphic Novels']","Bleach (3-in-1 Edition), Vol. 2 : Includes vols. 4, 5 & 6",4.34,844,Tite Kubo,"13,237",12-17,576,Aug,2011,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Horror & Ghost', 'Fantasy Books for Kids', 'Traditional']",House of Salt and Sorrows,3.93,69286,Erin A. Craig,"4,813",12-15,416,Aug,2020,Random House USA Inc,United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's General Story Books', 'Adventure Books for Kids', 'Graphic Novels']",Pokemon Adventures FireRed & LeafGreen / Emerald Box Set : Includes Vols. 23-29,4.35,62,Satoshi Yamamoto,"3,773",9-12,1576,Nov,2015,"Viz Media, Subs. of Shogakukan Inc",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Family', 'Society & Social Issues', 'Family Issues']",The Giver Quartet Box Set,4.37,7396,Lois Lowry,"25,830",12-17,864,Oct,2014,Clarion Books,,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Family', 'Historical', 'Family Issues']",First Test : Book 1 of the Protector of the Small Quartet,4.24,58984,Tamora Pierce,"25,467",12-17,240,Aug,2004,Random House USA Inc,United States,English

"['Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",A Darkest Minds Novel: In the Afterlight : Book 3,4.26,58908,Alexandra Bracken,"33,230",,592,Jan,2019,Hachette Children's Group,United Kingdom,English

"['Children's General Story Books', 'Romance Books for Teenagers', 'Family', 'Family Issues', 'Relationships']",The Complete Summer I Turned Pretty Trilogy (Boxed Set) : The Summer I Turned Pretty; It's Not Summer Without You; We'll Always Have Summer,4.31,23128,Jenny Han,"26,140",12-15,880,Aug,2022,Simon & Schuster Books for Young Readers,,English

"['Historical', 'Nonfiction History Books for Kids']",Fields of Home,4.18,1111,PJ Lynch,"51,240",9-12,192,Dec,2006,O'Brien Press Ltd,Ireland,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",The Prophet of Yonwood,3.29,30762,Jeanne DuPrau,"25,363",9-12,304,May,2007,Random House USA Inc,United States,English

"['Science Fiction', 'Science Fiction', 'Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids']",Sword Art Online 9 (light novel) : Alicization Beginning,4.42,2267,Reki Kawahara,"26,255",12-15,272,Dec,2016,"Little, Brown & Company",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Animal Stories', 'Society & Social Issues', 'Relationships']",The Miscalculations of Lightning Girl,4.3,13743,Stacy McAnulty,"6,107",12-15,320,Apr,2019,Random House USA Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Graphic Novels', 'English Language: Reading Schemes']",Time to Be a Hero : Ready-To-Read Level 1,3.89,193,Style Guide,"42,123",12-17,32,Nov,2016,Simon Spotlight,,English

"['Children's Fiction', 'Children's General Story Books', 'Funny Books for Kids', 'School Stories']","Middle School: How I Survived Bullies, Broccoli, and Snake Hill : (Middle School 4)",4.33,4374,James Patterson,"31,533",9+,336,Jan,2015,Cornerstone,United Kingdom,English

"['Classic Books for Children', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Five Children and It,3.86,25642,Edith Nesbit,"25,530",12-17,192,Dec,1999,Wordsworth Editions Ltd,United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Family', 'Family Issues', 'Siblings']",Worlds Collide,4.52,28693,Chris Colfer,"26,117",12-15,464,Jun,2018,"Little, Brown Books for Young Readers",,English

"['Fantasy Books for Kids', 'Traditional', 'Family', 'Family Issues']",Sweet Reckoning,4.29,33519,Wendy Higgins,"25,672",12-17,400,May,2014,HarperCollins Publishers Inc,United States,English

"['Adventure Books', 'Science Fiction', 'Science Fiction', 'Children's Fiction', 'Fantasy Books for Kids']","Re:ZERO -Starting Life in Another World-, Vol. 16 (light novel)",4.3,222,Shinichirou Otsuka,"2,506",12-15,240,Jun,2021,Yen Pr,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Romance Books for Teenagers']",Shatter Me,3.9,596317,Tahereh Mafi,"25,834",12-17,338,Jan,2018,TURTLEBACK BOOKS,,English

"['Children's Fiction', 'Children's General Story Books', 'Horror & Ghost', 'Fantasy Books for Kids', 'Non-Fiction']",Hell Followed with Us,4.22,6141,Andrew Joseph White,"2,043",12-15,416,Jun,2022,"Peachtree Publishers,U.S.",,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Falling Kingdoms: Rebel Spring (book 2),4.08,33065,Morgan Rhodes,"64,714",12-17,416,Feb,2015,Penguin Random House Children's UK,United Kingdom,English

"['Language: Reference & General', 'Early Learning', 'ABC', 'First Words', 'Animal Stories', 'Farm Animals', 'English Language: Reading Schemes']",Key Words: 4b Fun at the farm,3.82,17,William Murray,"25,744",9-12,56,Oct,2015,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers', 'School Stories', 'Death & Bereavement']",All This Time,3.94,34701,Mikki Daughtry,"10,355",12-15,336,Oct,2020,Simon & Schuster Ltd,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Children's General Story Books', 'Funny Books for Kids', 'School Stories', 'Graphic Novels', 'Cartoons']",Big Nate: I Can't Take It!,4.43,3471,Lincoln Peirce,"25,420",9-12,224,Oct,2013,Andrews McMeel Publishing,United States,English

"['Classic Books & Novels', 'Classic Books for Children']",Alice's Adventures in Wonderland,4,345794,Tove Jansson,"27,228",12-17,112,Mar,2011,Tate Publishing,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Romance Books for Teenagers', 'Family', 'Historical', 'Social Issues']",The Selection,4.09,1367592,Kiera Cass,"25,510",12-17,336,Apr,2012,HarperCollins Publishers Inc,United States,English

"['Graphic Novels: Superheroes', 'Graphic Novels: Superheroes', 'Graphic Novels: True Stories & Non-fiction', 'Graphic Novels: True Stories & Non-fiction', 'Characters', 'Storybooks', 'Children's General Story Books', 'Mystery Books for Kids', 'Animal Stories', 'Funny Books for Kids', 'Graphic Novels', 'Jokes & Humour']",Dog Man 8: Fetch-22 (PB),4.56,8868,Dav Pilkey,"4,530",12-15,240,Nov,2020,Scholastic,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Mystery Books for Kids', 'Family', 'Funny Books for Kids']",Ivy and Bean Take the Case (Book 10),4.13,1685,Sophie Blackall,"25,316",9-12,136,Aug,2014,Chronicle Books,United States,English

"['Anthologies', 'Children's General Story Books', 'Traditional', 'Family', 'Short Stories for Kids', 'Family Issues']",Kissing the Witch : Old Tales in New Skins,3.89,7636,Professor Emma Donoghue,"18,025",12-17,240,Apr,1999,HarperCollins Publishers Inc,United States,English

"['People & Places', 'Children's Reference Books', 'Children's Health Books', 'Sex Education']",Little Book of Growing Up,4.16,61,Victoria Parker,"25,280",12-17,128,May,2008,Hachette Children's Group,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Beast Quest: Narga the Sea Monster : Series 3 Book 3,4.11,602,Adam Blade,"25,679",12-17,144,Jun,2015,Hachette Children's Group,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Family', 'Funny Books for Kids', 'School Stories', 'Graphic Novels', 'Self-Esteem']",Dork Diaries,4.12,91078,Rachel Renee Russell,"25,923",9+,304,Mar,2015,Simon & Schuster Ltd,United Kingdom,English

"['Contemporary Fiction', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'School Stories']",Classroom of the Elite: Year 2 (Light Novel) Vol. 1,4.42,646,Tomoseshunsaku,"11,390",12-15,480,Jul,2022,"Seven Seas Entertainment, LLC",United States,English

"['Language: Reference & General', 'ABC', 'First Words', 'English Language: Reading Schemes']",Key Words: 4a Things we do,3.6,40,William Murray,"25,728",9-12,56,Aug,2009,Penguin Random House Children's UK,United Kingdom,English

"['Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids', 'Romance Books for Teenagers']",The Naturals,4.2,42034,Jennifer Lynn Barnes,"44,703",12-17,336,Oct,2014,"Little, Brown Books for Young Readers",,English

"['Literary Studies: General', 'Children's General Story Books', 'Children's Foreign Language Books']",No et moi,3.73,14041,Delphine de Vigan,"25,725",12-17,248,Mar,2009,Le Livre de poche,France,French

"['Animal Stories', 'Natural History Books for Children', 'Science', 'English Language: Reading Schemes']",National Geographic Kids Readers: Seed to Plant,4.12,164,National Geographic KIds,"25,696",12-17,32,Jan,2014,National Geographic Kids,United States,English

"['Crafts & Hobbies', 'Needlework & Fabric Crafts', 'Handicrafts']",Sewing School : 21 Sewing Projects Kids Will Love to Make,4.12,349,Andria Lisle,"25,475",12-17,144,Jan,2011,Storey Publishing LLC,United States,English

"['Classic Books for Children', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'Animal Stories']",Tales from Earthsea,4.08,23981,Ursula K Le Guin,"26,979",12-17,480,Sep,2012,"Cengage Learning, Inc",United States,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Thriller Books for Children', 'Mystery Books for Kids', 'Horror & Ghost', 'Fantasy Books for Kids', 'Funny Books for Kids']",Lockwood & Co: The Hollow Boy,4.38,17422,Jonathan Stroud,"1,410",9+,448,Sep,2015,Penguin Random House Children's UK,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Of Fire & Stars,3.76,19804,Moira Quirk,"90,526",12-15,416,Feb,2018,HarperCollins Publishers Inc,,English

"['Science Fiction', 'Science Fiction', 'Fantasy', 'Fantasy Books', 'Children's Fiction', 'Fantasy Books for Kids']","Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 7 (light novel)",4.4,1155,Suzuhito Yasuda,"25,719",12-15,384,Dec,2016,"Little, Brown & Company",United States,English

"['Teaching Of Students With Specific Learning Difficulties / Needs', 'Teaching Of Students With Specific Learning Difficulties / Needs', 'Teaching Of Autistic Students', 'Teaching Of Autistic Students', 'Children's Fiction', 'Society & Social Issues', 'Social Issues']",Social Skills Picture Book for High School and Beyond,4.14,66,Jed Baker,"25,757",12-17,177,Nov,2006,Future Horizons Incorporated,United States,English

"['Children's Fiction', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",The Winner's Curse,3.96,105061,Marie Rutkoski,"25,643",12-17,368,Mar,2014,"Farrar, Straus and Giroux (Byr)",United States,English

"['Animal Stories', 'Natural History Books for Children', 'Science', 'English Language: Reading Schemes']",National Geographic Kids Readers: Seed to Plant,4.12,164,National Geographic KIds,"25,696",12-17,32,Jan,2014,National Geographic Kids,United States,English

"['Classic Books for Children', 'Children's General Story Books', 'Adventure Books for Kids', 'Family', 'Historical']",Goodnight Mister Tom,4.31,46292,Michelle Magorian,"64,346",10+,464,Jun,2015,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Animal Stories', 'Historical']",An Elephant in the Garden : Inspired by a True Story,4.18,7951,Michael Morpurgo,"26,311",9+,224,Oct,2013,Square Fish,,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Graphic Novels', 'English Language: Reading Schemes']",Captain America: This Is Captain America,3.97,135,Dbg,"42,178",12-17,32,Mar,2014,Hyperion,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Television & Film', 'Relationships']",Sweet Little Lies,3.51,17853,Lauren Conrad,"26,196",12-17,336,Jul,2011,HarperCollins Publishers Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Funny Books for Kids']",Take Your Last Breath,4.35,4487,Lauren Child,"25,524",9+,432,Jul,2013,HarperCollins Publishers,United Kingdom,English

"['Children's Fiction', 'Classic Books for Children', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Family']",Moominland Midwinter,4.41,12642,Thomas Warburton,"88,239",9-12,160,Aug,2010,St Martin's Press,United States,English

"['Family', 'Funny Books for Kids', 'Short Stories for Kids']",Secret Club : Book 2,3.97,1271,Tony Ross,"26,870",9-12,144,Jun,2008,Hachette Children's Group,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Funny Books for Kids']",Nim's Island,3.89,4682,Kerry Millard,"4,628",9-12,128,Feb,2008,Random House USA Inc,United States,English

"['Children's Sports Books', 'Football / Soccer (Children's/YA)']",Pogba (Ultimate Football Heroes - the No. 1 football series),4.65,151,Matt & Tom Oldfield,"31,000",12-15,176,Mar,2018,John Blake Publishing Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Fantasy Books for Kids', 'Funny Books for Kids']","So I'm a Spider, So What?, Vol. 8 (light novel)",4.35,1356,Tsukasa Kiryu,"4,860",12-15,272,Mar,2020,"Little, Brown & Company",United States,English

"['Contemporary Fiction', 'Fantasy', 'Fantasy Books', 'Fantasy Books for Kids']",Kafka on the Shore,4.14,413004,Haruki Murakami,"25,414",12-15,480,Jan,2006,Random House USA Inc,United States,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Funny Books for Kids', 'Witches & Ghosts (Children's/YA)', 'Family Issues']",The Wee Free Men,4.28,105540,Terry Pratchett,"25,988",12-17,375,Aug,2006,HARPERCOLLINS,United States,English

"['Adventure Books', 'Fantasy', 'Fantasy Books', 'Fantasy Books for Kids']",Neverwinter : The Legend of Drizzt,4.15,8761,R.A. Salvatore,"25,799",12-15,368,Aug,2012,Wizards of the Coast,,English

"['Fantasy', 'Fantasy Books', 'Funny Books & Stories', 'Children's Fiction', 'Fantasy Books for Kids', 'Funny Books for Kids']","That Time I Got Reincarnated as a Slime, Vol. 8 (light novel)",4.43,1201,Mitz Vah,"8,626",12-15,358,Jun,2020,"Little, Brown & Company",United States,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers']",Perfect,4.2,19784,Cecelia Ahern,"68,110",12-15,432,Jan,2018,HarperCollins Publishers,United Kingdom,English

"['European History', 'Modern History To 20th Century: C 1700 To C 1900', '20th Century History: C 1900  To C 2000', 'Study & Learning Skills: General', 'Study & Learning Skills: General', 'History Books for Kids']",Russia under Tsarism and Communism 1881-1953 Second Edition,4.1,30,Terry Fiehn,"13,042",12-15,408,Mar,2011,HODDER EDUCATION,United Kingdom,English

"['Art Theory', 'Art Techniques & Principles', 'Crafts & Hobbies', 'Picture Books', 'Non-Fiction', 'Art', 'Handicrafts', 'Art & Design']",Art Workshops for Children,4.42,149,Hervé Tullet,"7,469",12-17,72,Sep,2015,Phaidon Press Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Fantasy Books for Kids', 'Family']",Finale : A Caraval Novel,4.21,111127,Stephanie Garber,"49,414",12-15,496,May,2019,FLATIRON BOOKS,,English

"['Adventure Books for Kids', 'Thriller Books for Children']",Agent 21 : Book 1,4.11,2533,Chris Ryan,"26,241",12-17,352,Dec,2011,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Traditional', 'Sports Stories']",Maniac Magee,3.89,122576,Jerry Spinelli,"57,980",9-12,192,Nov,2009,"Little, Brown & Company",United States,English

